provisional_work_key,representative_title,catalog_ids,missing_or_conflicting_roles,current_values,candidate_companies,best_confidence,conflict_reason,catalog_entry_count,company_game_impact,source_urls,recommended_next_research,priority
far cry 6,Far Cry 6 [Yara Edition],ps4-far-cry-6-yara-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Ubisoft Berlin [unresolved] | Ubisoft Kyiv [unresolved] | Ubisoft Montreal [ubisoft-montreal] | Ubisoft Shanghai [ubisoft-shanghai] | Ubisoft Toronto [ubisoft-toronto] | Ubisoft [unresolved],HIGH,COMPANY_ENTITY_UNRESOLVED | MISSING_PHYSICAL_PUBLISHER,6,ubisoft-montreal:92 | ubisoft-shanghai:15 | ubisoft-toronto:12,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/208158 | https://store.playstation.com/es-es/product/EP0001-CUSA15778_00-FARCRY6GAME00000 | https://store.steampowered.com/app/2369390 | https://www.pricecharting.com/game/pal-playstation-4/far-cry-6-yara-edition | https://www.wikidata.org/wiki/Q97120062,Resolver el nombre contra una entidad existente; no crear ni fusionar automáticamente.,3
far cry new dawn,Far Cry New Dawn,ps4-far-cry-new-dawn,developer | physical_publisher,"developer=Ubisoft Divertissements Inc.; physical_publisher=Ubisoft, Inc.",Ubisoft Divertissements Inc. [ubisoft-divertissements-inc] | Ubisoft Inc. [unresolved] | Ubisoft Kiev [unresolved] | Ubisoft Kyiv [unresolved] | Ubisoft Montreal [ubisoft-montreal] | Ubisoft Shanghai [ubisoft-shanghai],HIGH,COMPANY_ENTITY_UNRESOLVED,5,ubisoft-divertissements-inc:2 | ubisoft-montreal:92 | ubisoft-shanghai:15,https://store.playstation.com/es-es/product/EP0001-CUSA13885_00-FARCRYBOWMORE000 | https://store.steampowered.com/app/939960 | https://www.pricecharting.com/game/pal-playstation-4/far-cry-new-dawn | https://www.wikidata.org/wiki/Q59536524,Resolver el nombre contra una entidad existente; no crear ni fusionar automáticamente.,3
far cry new dawn,Far Cry New Dawn [Limited Edition],ps4-far-cry-new-dawn-limited-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Ubisoft Kiev [unresolved] | Ubisoft Kyiv [unresolved] | Ubisoft Montreal [ubisoft-montreal] | Ubisoft Shanghai [ubisoft-shanghai] | Ubisoft [unresolved],HIGH,MISSING_PHYSICAL_PUBLISHER,5,ubisoft-montreal:92 | ubisoft-shanghai:15,https://store.playstation.com/es-es/product/EP0001-CUSA13885_00-FARCRYBOWMORE000 | https://store.steampowered.com/app/939960 | https://www.pricecharting.com/game/pal-playstation-4/far-cry-new-dawn-limited-edition | https://www.wikidata.org/wiki/Q59536524,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
far cry new dawn,Far Cry New Dawn [Promo Not For Resale],ps4-far-cry-new-dawn-promo-not-for-resale,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Ubisoft Kiev [unresolved] | Ubisoft Kyiv [unresolved] | Ubisoft Montreal [ubisoft-montreal] | Ubisoft Shanghai [ubisoft-shanghai],MEDIUM,MISSING_BOTH_CORE_ROLES,5,ubisoft-montreal:92 | ubisoft-shanghai:15,https://store.playstation.com/es-es/product/EP0001-CUSA13885_00-FARCRYBOWMORE000 | https://store.steampowered.com/app/939960 | https://www.pricecharting.com/game/pal-playstation-4/far-cry-new-dawn-promo-not-for-resale | https://www.wikidata.org/wiki/Q59536524,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
far cry new dawn,Far Cry New Dawn [Steelbook Edition],ps4-far-cry-new-dawn-steelbook-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Ubisoft Kiev [unresolved] | Ubisoft Kyiv [unresolved] | Ubisoft Montreal [ubisoft-montreal] | Ubisoft Shanghai [ubisoft-shanghai],MEDIUM,MISSING_BOTH_CORE_ROLES,5,ubisoft-montreal:92 | ubisoft-shanghai:15,https://store.playstation.com/es-es/product/EP0001-CUSA13885_00-FARCRYBOWMORE000 | https://store.steampowered.com/app/939960 | https://www.pricecharting.com/game/pal-playstation-4/far-cry-new-dawn-steelbook-edition | https://www.wikidata.org/wiki/Q59536524,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
far cry new dawn,Far Cry New Dawn [Superbloom Edition],ps4-far-cry-new-dawn-superbloom-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Ubisoft Kiev [unresolved] | Ubisoft Kyiv [unresolved] | Ubisoft Montreal [ubisoft-montreal] | Ubisoft Shanghai [ubisoft-shanghai],MEDIUM,MISSING_BOTH_CORE_ROLES,5,ubisoft-montreal:92 | ubisoft-shanghai:15,https://store.playstation.com/es-es/product/EP0001-CUSA13885_00-FARCRYBOWMORE000 | https://store.steampowered.com/app/939960 | https://www.pricecharting.com/game/pal-playstation-4/far-cry-new-dawn-superbloom-edition | https://www.wikidata.org/wiki/Q59536524,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
far cry primal,Far Cry Primal,ps4-far-cry-primal,developer | physical_publisher,developer=Ubisoft Montreal; physical_publisher=(empty),Ubisoft Kyiv [unresolved] | Ubisoft Montreal [ubisoft-montreal] | Ubisoft Shanghai [ubisoft-shanghai] | Ubisoft Toronto [ubisoft-toronto] | Ubisoft [unresolved],HIGH,MISSING_PHYSICAL_PUBLISHER,5,ubisoft-montreal:92 | ubisoft-shanghai:15 | ubisoft-toronto:12,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/33337 | https://store.playstation.com/es-es/product/EP0001-CUSA03309_00-PRIMALGAME000001 | https://store.steampowered.com/app/371660 | https://www.pricecharting.com/game/pal-playstation-4/far-cry-primal | https://www.wikidata.org/wiki/Q21072291,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
far cry primal,Far Cry Primal [Collector's Edition],ps4-far-cry-primal-collector%27s-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Ubisoft Kyiv [unresolved] | Ubisoft Montreal [ubisoft-montreal] | Ubisoft Shanghai [ubisoft-shanghai] | Ubisoft Toronto [ubisoft-toronto] | Ubisoft [unresolved],HIGH,COMPANY_ENTITY_UNRESOLVED | MISSING_PHYSICAL_PUBLISHER,5,ubisoft-montreal:92 | ubisoft-shanghai:15 | ubisoft-toronto:12,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/35147 | https://store.playstation.com/es-es/product/EP0001-CUSA03309_00-PRIMALGAME000001 | https://store.steampowered.com/app/371660 | https://www.pricecharting.com/game/pal-playstation-4/far-cry-primal-collector%27s-edition | https://www.wikidata.org/wiki/Q21072291,Resolver el nombre contra una entidad existente; no crear ni fusionar automáticamente.,3
far cry primal,Far Cry Primal [Promo Not For Resale],ps4-far-cry-primal-promo-not-for-resale,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Ubisoft Kyiv [unresolved] | Ubisoft Montreal [ubisoft-montreal] | Ubisoft Shanghai [ubisoft-shanghai] | Ubisoft Toronto [ubisoft-toronto] | Ubisoft [unresolved],MEDIUM,MISSING_BOTH_CORE_ROLES,5,ubisoft-montreal:92 | ubisoft-shanghai:15 | ubisoft-toronto:12,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.playstation.com/es-es/product/EP0001-CUSA03309_00-PRIMALGAME000001 | https://store.steampowered.com/app/371660 | https://www.pricecharting.com/game/pal-playstation-4/far-cry-primal-promo-not-for-resale | https://www.wikidata.org/wiki/Q21072291,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
far cry primal,Far Cry Primal [Special Edition],ps4-far-cry-primal-special-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Ubisoft Kyiv [unresolved] | Ubisoft Montreal [ubisoft-montreal] | Ubisoft Shanghai [ubisoft-shanghai] | Ubisoft Toronto [ubisoft-toronto] | Ubisoft [unresolved],HIGH,MISSING_BOTH_CORE_ROLES | COMPANY_ENTITY_UNRESOLVED,5,ubisoft-montreal:92 | ubisoft-shanghai:15 | ubisoft-toronto:12,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.playstation.com/es-es/product/EP0001-CUSA03309_00-PRIMALGAME000001 | https://store.steampowered.com/app/371660 | https://www.pricecharting.com/game/pal-playstation-4/far-cry-primal-special-edition | https://www.wikidata.org/wiki/Q21072291,Resolver el nombre contra una entidad existente; no crear ni fusionar automáticamente.,3
far cry primal,Far Cry Primal [Steelbook Limited Edition],ps4-far-cry-primal-steelbook-limited-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Ubisoft Kyiv [unresolved] | Ubisoft Montreal [ubisoft-montreal] | Ubisoft Shanghai [ubisoft-shanghai] | Ubisoft Toronto [ubisoft-toronto] | Ubisoft [unresolved],MEDIUM,MISSING_BOTH_CORE_ROLES,5,ubisoft-montreal:92 | ubisoft-shanghai:15 | ubisoft-toronto:12,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.playstation.com/es-es/product/EP0001-CUSA03309_00-PRIMALGAME000001 | https://store.steampowered.com/app/371660 | https://www.pricecharting.com/game/pal-playstation-4/far-cry-primal-steelbook-limited-edition | https://www.wikidata.org/wiki/Q21072291,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
farming simulator 15,Farming Simulator 15,ps4-farming-simulator-15,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Focus Home Interactive [focus-home-interactive] | GIANTS Software [giants-software],HIGH,MISSING_PHYSICAL_PUBLISHER,1,focus-home-interactive:28 | giants-software:3,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/29553 | https://store.playstation.com/es-es/product/EP4133-CUSA01565_00-FARMINGSIMULAT15 | https://store.steampowered.com/app/313160 | https://www.pricecharting.com/game/pal-playstation-4/farming-simulator-15 | https://www.wikidata.org/wiki/Q20472103,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
farming simulator 17,Farming Simulator 17 [Platinum Edition],ps4-farming-simulator-17-platinum-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Focus Home Interactive [focus-home-interactive] | GIANTS Software [giants-software],HIGH,MISSING_PHYSICAL_PUBLISHER,2,focus-home-interactive:28 | giants-software:3,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.playstation.com/es-es/product/EP4133-CUSA10001_00-FS17EDITPLATINUM | https://store.steampowered.com/app/447020 | https://www.pricecharting.com/game/pal-playstation-4/farming-simulator-17-platinum-edition | https://www.wikidata.org/wiki/Q25384945,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
farming simulator 19,Farming Simulator 19,ps4-farming-simulator-19,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Focus Home Interactive [focus-home-interactive] | GIANTS Software [giants-software],VERY_HIGH,MISSING_BOTH_CORE_ROLES,5,focus-home-interactive:28 | giants-software:3,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/193195 | https://store.playstation.com/es-es/product/EP4133-CUSA11593_00-FARMINGSIMULAT19 | https://store.steampowered.com/app/787860 | https://www.pricecharting.com/game/pal-playstation-4/farming-simulator-19 | https://www.wikidata.org/wiki/Q58897626,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
farming simulator 19,Farming Simulator 19 [Ambassador Edition],ps4-farming-simulator-19-ambassador-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Focus Home Interactive [focus-home-interactive] | GIANTS Software [giants-software],HIGH,MISSING_PHYSICAL_PUBLISHER,5,focus-home-interactive:28 | giants-software:3,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/193195 | https://store.playstation.com/es-es/product/EP4133-CUSA11593_00-FARMINGSIMULAT19 | https://store.steampowered.com/app/787860 | https://www.pricecharting.com/game/pal-playstation-4/farming-simulator-19-ambassador-edition | https://www.wikidata.org/wiki/Q58897626,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
farming simulator 19,Farming Simulator 19 [Day One Edition],ps4-farming-simulator-19-day-one-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Focus Home Interactive [focus-home-interactive] | GIANTS Software [giants-software],HIGH,MISSING_PHYSICAL_PUBLISHER,5,focus-home-interactive:28 | giants-software:3,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/193195 | https://store.playstation.com/es-es/product/EP4133-CUSA11593_00-FARMINGSIMULAT19 | https://store.steampowered.com/app/787860 | https://www.pricecharting.com/game/pal-playstation-4/farming-simulator-19-day-one-edition | https://www.wikidata.org/wiki/Q58897626,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
farming simulator 19,Farming Simulator 19 [Platinum Edition],ps4-farming-simulator-19-platinum-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Focus Home Interactive [focus-home-interactive] | GIANTS Software [giants-software],HIGH,MISSING_PHYSICAL_PUBLISHER,5,focus-home-interactive:28 | giants-software:3,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/193195 | https://store.playstation.com/es-es/product/EP4133-CUSA11593_00-FARMINGSIMULAT19 | https://store.steampowered.com/app/787860 | https://www.pricecharting.com/game/pal-playstation-4/farming-simulator-19-platinum-edition | https://www.wikidata.org/wiki/Q58897626,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
farming simulator 19,Farming Simulator 19 [Premium Edition],ps4-farming-simulator-19-premium-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Focus Entertainment [focus-entertainment] | Focus Home Interactive [focus-home-interactive] | GIANTS Software [giants-software],HIGH,MISSING_PHYSICAL_PUBLISHER,5,focus-entertainment:4 | focus-home-interactive:28 | giants-software:3,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/193195 | https://store.playstation.com/es-es/product/EP4133-CUSA11593_00-FARMINGSIMULAT19 | https://store.steampowered.com/app/787860 | https://www.pricecharting.com/game/pal-playstation-4/farming-simulator-19-premium-edition | https://www.wikidata.org/wiki/Q58897626,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
farming simulator 22,Farming Simulator 22,ps4-farming-simulator-22,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Focus Home Interactive [focus-home-interactive] | GIANTS Software [giants-software],HIGH,MISSING_PHYSICAL_PUBLISHER,3,focus-home-interactive:28 | giants-software:3,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.playstation.com/es-es/product/EP4399-CUSA25359_00-FARMINGSIMULAT22 | https://store.steampowered.com/app/1248130 | https://www.pricecharting.com/game/pal-playstation-4/farming-simulator-22 | https://www.wikidata.org/wiki/Q106764192,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
farming simulator 22,Farming Simulator 22 [Platinum Edition],ps4-farming-simulator-22-platinum-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Focus Home Interactive [focus-home-interactive] | GIANTS Software [giants-software],HIGH,MISSING_PHYSICAL_PUBLISHER,3,focus-home-interactive:28 | giants-software:3,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.playstation.com/es-es/product/EP4399-CUSA25359_00-FARMINGSIMULAT22 | https://store.steampowered.com/app/1248130 | https://www.pricecharting.com/game/pal-playstation-4/farming-simulator-22-platinum-edition | https://www.wikidata.org/wiki/Q106764192,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
farming simulator 22,Farming Simulator 22 [Premium Edition],ps4-farming-simulator-22-premium-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Focus Home Interactive [focus-home-interactive] | GIANTS Software [giants-software],HIGH,MISSING_PHYSICAL_PUBLISHER,3,focus-home-interactive:28 | giants-software:3,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.playstation.com/es-es/product/EP4399-CUSA25359_00-FARMINGSIMULAT22 | https://store.steampowered.com/app/1248130 | https://www.pricecharting.com/game/pal-playstation-4/farming-simulator-22-premium-edition | https://www.wikidata.org/wiki/Q106764192,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
fatal frame maiden of black water,Fatal Frame : Maiden of Black Water,ps4-fatal-frame-maiden-of-black-water,developer | physical_publisher,developer=Koei Tecmo Games; physical_publisher=Koei Tecmo Games,Koei Tecmo Games [unresolved] | Koei Tecmo Holdings [koei-tecmo-holdings] | Koei Tecmo [koei-tecmo],MEDIUM,IDENTIFIER_OR_TITLE_CONFLICT,1,koei-tecmo-holdings:1 | koei-tecmo:80,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.playstation.com/es-es/product/EP4108-CUSA28985_00-APPFOCUS00000000 | https://www.wikidata.org/wiki/Q16625874,Resolver primero el identificador y el título exactos de esta ficha.,3
fatal fury city of the wolves,Fatal Fury: City of the Wolves Special Edition,ps4-fatal-fury-city-of-the-wolves-special-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),SNK Corporation [snk],HIGH,MISSING_PHYSICAL_PUBLISHER,2,snk:580,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/462761 | https://store.steampowered.com/app/2492040 | https://www.wikidata.org/wiki/Q124984952,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
fate samurai remnant,Fate/Samurai Remnant,ps4-fatesamurai-remnant,developer | physical_publisher,developer=Koei Tecmo Europe Ltd.; physical_publisher=(empty),KOEI TECMO GAMES Co Ltd. [unresolved] | Koei Tecmo Europe Ltd. [unresolved] | Omega Force [omega-force],MEDIUM,MISSING_PHYSICAL_PUBLISHER,1,omega-force:83,https://store.playstation.com/es-es/product/EP4108-CUSA33394_00-GAME000000000000 | https://store.steampowered.com/app/1902690 | https://www.pricecharting.com/game/pal-playstation-4/fatesamurai-remnant | https://www.wikidata.org/wiki/Q115950128,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
fifa 15,FIFA 15 [Promo Not For Resale],ps4-fifa-15-promo-not-for-resale,developer | physical_publisher,developer=(empty); physical_publisher=(empty),EA Canada [ea-canada] | EA Vancouver [ea-vancouver] | Electronic Arts Canada [electronic-arts-canada] | Electronic Arts [electronic-arts],MEDIUM,MISSING_BOTH_CORE_ROLES,3,ea-canada:277 | ea-vancouver:48 | electronic-arts-canada:1 | electronic-arts:675,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/22788 | https://store.playstation.com/es-es/product/EP0006-CUSA00722_00-FIFAFOOTBALL2015 | https://www.pricecharting.com/game/pal-playstation-4/fifa-15-promo-not-for-resale | https://www.wikidata.org/wiki/Q17156010,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
fifa 15,FIFA 15 [Ultimate Team Edition],ps4-fifa-15-ultimate-team-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),EA Canada [ea-canada] | EA Vancouver [ea-vancouver] | Electronic Arts Canada [electronic-arts-canada] | Electronic Arts [electronic-arts],MEDIUM,MISSING_BOTH_CORE_ROLES,3,ea-canada:277 | ea-vancouver:48 | electronic-arts-canada:1 | electronic-arts:675,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/22788 | https://store.playstation.com/es-es/product/EP0006-CUSA00722_00-FIFAFOOTBALL2015 | https://www.pricecharting.com/game/pal-playstation-4/fifa-15-ultimate-team-edition | https://www.wikidata.org/wiki/Q17156010,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
fifa 16,FIFA 16 [Deluxe Edition],ps4-fifa-16-deluxe-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),EA Canada [ea-canada] | EA Sports [ea-sports] | EA Vancouver [ea-vancouver] | Electronic Arts Canada [electronic-arts-canada] | Electronic Arts [electronic-arts],HIGH,MISSING_DEVELOPER,3,ea-canada:277 | ea-sports:311 | ea-vancouver:48 | electronic-arts-canada:1 | electronic-arts:675,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/29277 | https://store.playstation.com/es-es/product/EP0006-CUSA02126_00-FIFAFOOTBALL2016 | https://www.pricecharting.com/game/pal-playstation-4/fifa-16-deluxe-edition | https://www.wikidata.org/wiki/Q20007251,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
fifa 16,FIFA 16 [Promo Not For Resale],ps4-fifa-16-promo-not-for-resale,developer | physical_publisher,developer=(empty); physical_publisher=(empty),EA Canada [ea-canada] | EA Vancouver [ea-vancouver] | Electronic Arts Canada [electronic-arts-canada] | Electronic Arts [electronic-arts],MEDIUM,MISSING_BOTH_CORE_ROLES,3,ea-canada:277 | ea-vancouver:48 | electronic-arts-canada:1 | electronic-arts:675,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/29277 | https://store.playstation.com/es-es/product/EP0006-CUSA02126_00-FIFAFOOTBALL2016 | https://www.pricecharting.com/game/pal-playstation-4/fifa-16-promo-not-for-resale | https://www.wikidata.org/wiki/Q20007251,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
fifa 17,FIFA 17 [Deluxe Edition],ps4-fifa-17-deluxe-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),EA Canada [ea-canada] | EA Romania [unresolved] | EA Sports [ea-sports] | EA Vancouver [ea-vancouver] | Electronic Arts Canada [electronic-arts-canada] | Electronic Arts [electronic-arts],MEDIUM,MISSING_BOTH_CORE_ROLES,3,ea-canada:277 | ea-sports:311 | ea-vancouver:48 | electronic-arts-canada:1 | electronic-arts:675,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/145443 | https://store.playstation.com/es-es/product/EP0006-CUSA03214_00-FIFAFOOTBALL2017 | https://www.pricecharting.com/game/pal-playstation-4/fifa-17-deluxe-edition | https://www.wikidata.org/wiki/Q24442399,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
fifa 17,FIFA 17 [Promo Not For Resale],ps4-fifa-17-promo-not-for-resale,developer | physical_publisher,developer=(empty); physical_publisher=(empty),EA Canada [ea-canada] | EA Romania [unresolved] | EA Vancouver [ea-vancouver] | Electronic Arts Canada [electronic-arts-canada] | Electronic Arts [electronic-arts],MEDIUM,MISSING_BOTH_CORE_ROLES,3,ea-canada:277 | ea-vancouver:48 | electronic-arts-canada:1 | electronic-arts:675,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/145443 | https://store.playstation.com/es-es/product/EP0006-CUSA03214_00-FIFAFOOTBALL2017 | https://www.pricecharting.com/game/pal-playstation-4/fifa-17-promo-not-for-resale | https://www.wikidata.org/wiki/Q24442399,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
fifa 17 ultimate team,FIFA 17 [Ultimate Team],ps4-fifa-17-ultimate-team,developer | physical_publisher,developer=(empty); physical_publisher=(empty),EA Canada [ea-canada] | EA Romania [unresolved] | EA Sports [ea-sports] | EA Vancouver [ea-vancouver] | Electronic Arts Canada [electronic-arts-canada] | Electronic Arts [electronic-arts],MEDIUM,MISSING_BOTH_CORE_ROLES,1,ea-canada:277 | ea-sports:311 | ea-vancouver:48 | electronic-arts-canada:1 | electronic-arts:675,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/145443 | https://store.playstation.com/es-es/product/EP0006-CUSA03214_00-FIFAFOOTBALL2017 | https://www.pricecharting.com/game/pal-playstation-4/fifa-17-ultimate-team | https://www.wikidata.org/wiki/Q24442399,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
fifa 18,FIFA 18 [Ronaldo Edition],ps4-fifa-18-ronaldo-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),EA Canada [ea-canada] | EA Romania [unresolved] | EA Sports [ea-sports] | EA Vancouver [ea-vancouver] | Electronic Arts Romania [unresolved] | Electronic Arts [electronic-arts],MEDIUM,MISSING_BOTH_CORE_ROLES,2,ea-canada:277 | ea-sports:311 | ea-vancouver:48 | electronic-arts:675,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/140116 | https://store.playstation.com/es-es/product/EP0006-CUSA07994_00-FIFAFOOTBALL2018 | https://www.pricecharting.com/game/pal-playstation-4/fifa-18-ronaldo-edition | https://www.wikidata.org/wiki/Q30138107,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
fifa 19,FIFA 19 [Champions Edition],ps4-fifa-19-champions-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),EA Romania [unresolved] | EA Sports [ea-sports] | EA Vancouver [ea-vancouver] | Electronic Arts Canada [electronic-arts-canada] | Electronic Arts [electronic-arts],HIGH,MISSING_DEVELOPER,4,ea-sports:311 | ea-vancouver:48 | electronic-arts-canada:1 | electronic-arts:675,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/208564 | https://store.playstation.com/es-es/product/EP0006-CUSA11608_00-FIFAFOOTBALL2019 | https://www.pricecharting.com/game/pal-playstation-4/fifa-19-champions-edition | https://www.wikidata.org/wiki/Q54153179,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
fifa 19,FIFA 19 [Collector's Edition],ps4-fifa-19-collector%27s-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),EA Romania [unresolved] | EA Vancouver [ea-vancouver] | Electronic Arts Canada [electronic-arts-canada] | Electronic Arts [electronic-arts],MEDIUM,MISSING_BOTH_CORE_ROLES,4,ea-vancouver:48 | electronic-arts-canada:1 | electronic-arts:675,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/208564 | https://store.playstation.com/es-es/product/EP0006-CUSA11608_00-FIFAFOOTBALL2019 | https://www.pricecharting.com/game/pal-playstation-4/fifa-19-collector%27s-edition | https://www.wikidata.org/wiki/Q54153179,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
fifa 19,FIFA 19 [Edition Collector 2 Etoiles Ultimate],ps4-fifa-19-edition-collector-2-etoiles-ultimate,developer | physical_publisher,developer=(empty); physical_publisher=(empty),EA Romania [unresolved] | EA Vancouver [ea-vancouver] | Electronic Arts Canada [electronic-arts-canada] | Electronic Arts [electronic-arts],MEDIUM,MISSING_BOTH_CORE_ROLES,4,ea-vancouver:48 | electronic-arts-canada:1 | electronic-arts:675,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/208564 | https://store.playstation.com/es-es/product/EP0006-CUSA11608_00-FIFAFOOTBALL2019 | https://www.pricecharting.com/game/pal-playstation-4/fifa-19-edition-collector-2-etoiles-ultimate | https://www.wikidata.org/wiki/Q54153179,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
